id,attempts
55520,220
3000828,844
13519,187
393159,249
566659,121
318864,5
214563,428
213862,17
110067,321
53884,178
803536,199
305550,193
1794745,31
2085937,275
3332936,299
2174411,102
497514,241
589455,262
199761,138
1981025,268
214523,385
186646,484
873805,297
638047,289
541953,465
449502,120
379772,237
1347537,35
848722,199
72282,99
109927,199
533315,274
162204,50
847961,110
3489868,700
3543219,500
70059,200
5098465,600
3316842,1163
1474319,473
341613,199
10109,246
135561,879
57730,154
308891,512
102765,165
130414,400
1650666,320
1777565,234
396874,304
664867,491
2029133,133
74482,69
709020,106
156473,100
83434,173
874540,164
282655,133
1266557,258
166421,167
1104816,490
1178834,127
350329,285
316982,180
436624,137
1044292,319
897837,509
450920,1167
369294,169
2997354,1129
358750,367
282776,513
223454,200
313526,109
453613,66
3873452,200
4751069,334
1018758,199
897342,461
553327,823
700880,956
171334,194
252772,411
700046,352
429412,302
125283,113
1299335,503
223646,111
4020457,128
239006,182
707510,313
356198,148
1655600,244
1770706,370
440927,65
3122641,191
1485305,78
3679314,126
282065,174
1433985,185
4449165,334
429491,269
1168060,235
434901,70
74449,413
398923,130
5904109,159
5247526,1229
558292,351
1253759,138
112849,178
99361,268
418434,105
1196687,335
785536,218
4666989,554
709201,129
249473,279
200868,208
960890,168
1908735,454
994282,109
776919,229
260489,204
332723,160
173966,151
2313423,117
188622,185
421949,184
840397,117
6199083,487
262161,137
859657,395
413504,394
5875660,1291
1313097,128
428765,89
5439175,356
193368,261
277503,275
846153,135
4115525,4590
682941,493
700238,143
3804116,419
561457,76
320589,351
2019027,353
3447363,819
3081555,355
167178,144
1253759,138
665521,141
3460047,1066
4956616,386
1222512,12
1233956,119
212857,96
1343862,100
154754,200
667148,151
194073,137
890206,232
5368720,2085
6790485,1086
941713,254
744247,365
3895847,123
249777,77
808862,159
647226,129
4924197,171
721140,160
714993,87
1057126,230
6664095,2142
4552000,425
915886,91
694459,170
1397498,121
651676,127
7116121,261
2912276,204
1841302,131
1668421,225
511533,178
7179833,1003
7402635,661
963572,134
220369,205
2609353,36
919172,27
1446831,43
1480690,568
683367,349
663347,346
116474,285
1643122,400
2008749,236
743732,215
1412727,187
1386230,165
1329149,284
184880,239
1918995,142
362829,190
1830507,400
79939,286
113790,192
1061550,304
923264,137
829373,83
697865,315
949673,140
7377848,990
1257245,470
1084112,231
7705437,874
149377,163
3285351,958
591845,123
8418966,412
8492247,258
4668582,219
8469744,269
7032942,542
657255,152
636918,145
541811,193
512006,256
511289,228
504100,262
3942187,100
633893,97
1732110,222
11202046,135
12029745,338
11781261,299
11588490,310
11317271,60
11203686,165
11127666,173
379959,132
173009,175
190003,266
218690,183
456678,1033
596247,254
603196,314
897987,339
1326086,325
4245095,417
4869657,596
10601901,423
12528191,387
12101510,135
11958917,386
20511156,470
13037894,108
263287,709
12556,551
46649388,422
46980499,355
91402,560
99719,729
56287,542
3871978,75
14850167,241
116631,425
123247,446
121377,339
1797035,225
131552,434
492190,224
741635,761
839175,350
1698428,500
46423900,191
179964,335
128930,308
1703546,428
735154,697
111010,650
141457,72
142596,327
47115979,418
149635,257
151076,297
153697,480
157845,92
158646,276
160166,218
764038,505
189290,238
188337,107
227173,296
247138,267
369759,1751
215619,207
358365,350
376998,145
496763,105
469297,240
518113,78
542144,214
584621,400
846763,147
946003,146
827581,722
998398,142
992985,120
973476,141
1310775,339
5433594,1651
3039143,284
3065806,358
3234464,600
3916331,542
3626475,324
4190996,274
4232282,515
4586988,366
4665618,160
4822612,634
1303124,147
1310467,714
1424106,88
1529740,212
4727649,658
18735780,93
5239468,115
697220,161
16689082,189
15237198,638
47545009,354
100091,676
144503,721
134458,863
165155,436
169052,459
370328,150
381594,233
574035,117
210122,134
1456559,257
3264805,276
1871069,360
47770907,174
1963422,108
8660411,78
783778,266
763864,135
758361,150
760070,204
1052122,254
1471422,171
1468106,343
7896684,552
47849218,264
3430273,219
912788,48
933759,65
2859687,58
2108811,249
513137,1475
1616126,179
1590981,248
626543,152
17235008,215
1520197,303
881590,153
941962,201
957229,178
270128,160
1459700,538
18025697,531
1576350,303
1536895,259
180857,497
204204,91
307217,54
270049,140
628073,366
1174452,208
1037675,186
46615912,280
3070571,286
6179338,463
4191927,160
4192768,596
4094401,187
4045128,169
47050886,902
27786218,517
48199047,290
38047229,1